title,law_url,sysid,law_group,law_type
พระราชบัญญัติควบคุมการแลกเปลี่ยนเงิน พุทธศักราช 2485 (ฉบับ Update ล่าสุด) (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=803679&ext=htm,803679,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติความเท่าเทียมระหว่างเพศ พ.ศ. 2558,https://www.krisdika.go.th/librarian/get?sysid=724570&ext=htm,724570,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติความปลอดภัย อาชีวอนามัย และสภาพแวดล้อมในการทำงาน พ.ศ. 2554 ,https://www.krisdika.go.th/librarian/get?sysid=642407&ext=htm,642407,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติคุ้มครองซากดึกดำบรรพ์ พ.ศ. 2551,https://www.krisdika.go.th/librarian/get?sysid=571634&ext=htm,571634,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติการซื้อขายสินค้าเกษตรล่วงหน้า พ.ศ. 2542 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=544430&ext=htm,544430,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติการศึกษาแห่งชาติ พ.ศ. 2542 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=632555&ext=htm,632555,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติกองทุนฟื้นฟูและพัฒนาเกษตรกร พ.ศ. 2542 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=324953&ext=htm,324953,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติกองทุนเงินให้กู้ยืมเพื่อการศึกษา พ.ศ. 2560,https://www.krisdika.go.th/librarian/get?sysid=767396&ext=htm,767396,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชกำหนดการปฏิรูประบบสถาบันการเงิน พ.ศ. 2540 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=302220&ext=htm,302220,การเงิน การคลัง และวิธีการงบประมาณ,พระราชกำหนด
พระราชบัญญัติกองทุนบำเหน็จบำนาญข้าราชการ พ.ศ. 2539 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=641508&ext=htm,641508,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติการเคหะแห่งชาติ พ.ศ. 2537 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=562044&ext=htm,562044,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
